r,s,z
0x67d3ad7cb63e544c269187e734522561062da234050cc4ac808e1d473e4b4498,0xc9283ec55ced7e3fdfc7570063ebf55af4f105d169398255e2001144b7be1807,0x7e04830808dade021c1d0fa14c19bc62b0e066061f9dc712f5e5e31dee4e0552
0x677ef9cbc4c697a0813c2826517b6251bc0ff1e3c818c0b9b379967f59bdd80e,0x5d1433f6c84a2147ae35d241023abad4b9827e386f2c8f382514167e22cbb38e,0x81e6318fc60da08503b42a291db434474606cc85c95e8355e299642e2a07387f
0x72ad3d45fd89a2a6357b14c60c678f0e8574881ca9d9538d896088b49fb942,0xa87a9d6e92ae67bbc15085d43a146d6e2541cdd507a227c1751452cfab553f41,0x6d11c8127cd0c4b3c6e7a0a8033041e8e6e17e34e188054073d208477bb65eb1
0x6ad0236f3250f06179129ec5b211fbc6049dec650df4b27ee7e0cee8a1cb935f,0xc8775efaa6dbb503f59db7933fb79e0e985d091225ec47d390443defae0136c5,0x2b92003a75794123869b108c15e4feb9f99a9dd96b3d26eb18928bbd2d175e52
0x9195ba7f0b8aac2c94d44297376a2eca237bd77437a3e68f90dd03c82f497200,0x588dfa37aca48b40908eba12b90cfcf0252e497193242d02843a36f53369bf4a,0x18d7ebb53f9c6c5b9bc74b53ac31d9505d23649f1052e5dd5462b7643daeb37f
0x5c28a9be8e0f4a07cefa88ad87b5017abde401e117eddcbdbd725a8f0e5fcfd7,0x142b10ba9c9da2f9fd0c931beaf951d5107a3cdb69cae20191b06e197c4193a6,0xe286fc4b00c4ad28adc39439c2b919c60eb9290ab4e4d7136339d1ac65da262f
0x30a60575668795db36708979565e36286064844fb16b10227275fab6b4e81513,0x3d020659b129a1f3cd6e78cb28b453906fab94e5680163b74459993bd74f50ba,0x1f182190c48c70c8e6474acf717ca6e240871c33ac18a3dcd810606180476a67
0x29e6622a450cd82cb0d8767f0629d51ca79a74713f1566ab9430eb50ca7b2adf,0x895b2062101e36d5048034938f4c31713f4198828aa2d1b221b1e5441e49e103,0x17d522e4113e8bac86e0d6020e4818cf271c2318570eef5ac076cbb92c88d113
0x8c3e9b12f6a4ca5f31fb389ec487724369f6afe3f1ab513bef739714f794bbe,0x50eb6331c87fb164c401add553443dc7d89927790d429c1881f3026a72efb86,0x38475c53b285d64d68d4549cf6545a0e2b20f35ab556b688a1b969b48c49a002
0xdc5d2e1074f9460e041f55b98b2eac5fc076eee506c2670ce36eab2f768d7de,0xdd355e5fa69bf4a37734ae7200949c3ca06a35fa7f09423dc71b00e2855d2bba,0xd2d3d16a51177ebbde09d247bebe79fac3742aceb11b8a53aed93735b920208a
0xb0248368db121443ff7ba8f9a7e4039577fff7f48fe62db7b4bb123c9d4c2f73,0xda74b5bf299ee5d14135dc1e1c3d7d284c4eb46c60f151a5eb08bcc66d6a59a1,0x9882b6541b36311f26d22d003e141364177e504af8ba4b001d8be62f3ce5526
0x841df200ba082cf712dba16030e5b8e59e83f1aaea3c191651fde7256aa83578,0xd117b9eed536e883144502ecc5122cabe75f31926068ea68ac743d6c4e3756fe,0x9e4a735136f35ee218e6c75b3a41bd9cda60513176758d96f6dd7e0f5c1897fb
0x2e1d1803afb736fd31672a40756d1149cc93ffcbe63fc987a2793b6b10e10fbe,0xb74fb9713194670299646e2a40c840b3ef92cd83844b521d290e28a2cd3a2535,0x6b432f271a7ce310a6a311cfb9c2ac96415a93a47d697f3d1ff57d16e27d6129
0x7ae297b2001851f150a35ef9a5e44837bcd5afaec80c3e3fc4721fc4836b6d53,0x4dfa12716dce7db437a33803054315947ad4e037e769e85c419bbcd807cdcd40,0x94e863d9999e42d590b9d9eea0edd2f165b1faddcb8600a4e59a6654f1573e75
0x6f256b50205ba00a453607ec3ba63ea6cdfb6096580ab68d87c424a8a5c8413e,0x6c493446fadb17280e8932064aa77da4d4eedd9e2f1e36ca08b4512e8baa53d9,0xbd58b78e1f839084e09ade549dbbe852d06ce193e6116cf35de9a24a0850931e
0x7e699bfdd9a9569f000f19c7173e3bc3a87787a8d5815c26765749c5a0d50c91,0x8afea25413a11c620e3ea476801a290f575c8687defb63f9c9bb774e4a6c7e59,0x361e1b3178cfe8656d940e411d96707c52bb5cec310bcae3c785a80d66cdd884
0x69222914532c1e83b7c0b92a892f36568f116fd2765af800dcb37c912aec3edf,0x61b07e31c9ad325bafbca2aff6e0b5fef0cc4b9b90e65e76edbf66788e1cd786,0x4384114978d5176577ac0078b8c2b1f02a932cbef9bbef699ee77f8ac1fbcdc
0x45f15c152c2058324aeda33aaed061635eeed5577148f58ed9821a057549a4fe,0x2e806d952f2e958e3c8df437f65c3a9bd784b4199acded2750f865e1155f5081,0xc86f14d8339754050f3345fb121b843d89a80b11ece5faa959257e115967bdc4
0xe5eb8d4542251464fef5a34ba7df19bab3ec03af9d9582a4ea7d8dfc7fe8387c,0x2b5ead4ec1ff33905f52afe16d70d3bc2c6fd461232ae884889002f9890e6afd,0x67a9bd935fdc1d9efee66c7d5865bc43b87f8438f2969f99d4eb4060481ce539
0xe6bda2096ddacc8ce34ccca0d0547ea6478c5bc61b3604c966e3b125c427a332,0x2eb7c9fa2f28eda65790d44f1f2841541373e11c6100a225bcf79f10ace8b088,0x76c501079b0bca927666fae5b29a1c7fb25807c6c97ad8ff34ffceb7a295be4c
0x2c96430b49664ccb055636c85ec5d996e976fb810625f7159f273aa2f8b6e3dd,0x810cd0fc237ab8ee06e72ed7e43e7d0113a6a8de3efbb7a7d4039925566e5dd7,0xfa0bde867653bab14567b0bcfbeb9fd2975a2c56181d26d42f724f2a1a4008ae
0x867f056d7af154ef706144cc8f9c7c9c17eed3d7dc0a65257427f6e7b6416026,0x4997c95edea457394854ff9c219041954c94dee7ec4e760091436888d7e1e27c,0x93ab9c30e5357bcb8e832352c96bcf050d1fa7fdada651b2127740fd00b6dd00
0xdabfb8b9b5ea76d1039b4d9942175ba1040247222dfdb3b3acc2988d5c6c771a,0xd479851c4e6b701e15795c3a688e942969493e91cc6f7b3a4324a2361acc53fd,0xfd47a8cc7e21c955e44d06d6c7e6352d19c9385df60f1755f1e5dae0a0a831a9
0x5513d212508a7630398ca11e4997370bad576c7b2428fa37517a8985575007df,0xc021d29368a3d69f0cb334e30967a960c843810ace2392a05ed1742261efd124,0xe8710ee45a97cdbbf3335795ff4ab71ddcbf237c5804273eb65531a869131e2f
0xd0c0418193ad669c4a2b98f0a8a22fb849f9adf0040ae0fbcb974753f8815943,0x7fee7bda34161fb8abf39b32572a49fe711ec09d99ffed4be5dd2592d80902b2,0x30e5fd588cc634e2a9a0be7019a69a4f550089cebcdab672fd769f7f123fc0b5
0xd141586d452f520427fb7da6ddea0cc4f25e58b981c2ceb3f66277867e2e2433,0x59b974f9f49bc24567d7920c40ec1808e55aaa7bdd0e9de0d49bbcffd3f7b9e0,0x53c3533b95f48d04c2ceae92db7779af234feae003326506b50e6c46ebda25ce
0xd4e33b2575424f2e66903e0c943d88461c380d2de2ed649b942827f0c0039ac,0xa727e1a55b6df56ef383df47b238944c502f6812a13b1bc99d0b6d0eb644b060,0xbec8ebc83531fc771fef4c9630a1f740d74a668d34cc1b59edcfa753433b66ff
0x4163c31ff4c13e6bbb407a95b5ab042afb211d0c1f990ce6172b7cd124159c3c,0x12eafd77a6f323bb2dd4d0314f4b071688625743f1f0d621df89c57d14e3ede0,0x5152857608d5092fad3b0516f085b03be3b5cf70aee7612198e0f37829e04075
0x185d5f4d94d686dad3a2865459b27bf43dbab5bec3f6568bc9eee596434f47c,0x3235e58f7edfd4bd69287d99acd35f3cee87903c5d356d63c94049fec709f66d,0x802f68e39f3d98a55ec1962beebae82e6e6afe0c9f2dd9347320f988a763800a
0x7eab331dd199684887cc89a50fb0a623d5f0f973569c4ee11a030130b83fbbbc,0xd198902068ce109330134eebb7c618480baa1027d3c3370fde3bf5f588989231,0xc97454ab8adf2459c1f16f528e0f675b8ef8026b14c760cd4d7f93daae3712b1
0xa93d5e4a66c16e5f84e711df9a048de58b3d8b26665ee6abf199ee51159c169,0x4e3dc7a1ffb0c51f3a95d11d4832ec0169b08ea4afff3a49f7e6af2f5bf3ad00,0x6711ae11a7cb79f513f4905d7c39c5a3ff91fad6c8298b17a8371e499a28aa66
0x91ceaf3702f4efa4d8af76e3849b56577294e652a3f56e5910be39f9a071960e,0xfd7c57e98ca917ae115168d0c2346080ced6cc0a13c57b056e628df9d61475a8,0x8f741a95321e648544542d1ade31c4be016db3fc98ab964c0c8d232105c90bfa
0x32e45f00131fdafb279e9474569bc6949ebcbc5e34236dcfe7667dd2acf9d30f,0xba594b379d7161e5db6100207e6220eaee9e615aad794c2de96a3b0eb60386be,0x1cfab8924ea71289f352f80b28367b379cbfc088d5db18cdf5e90a5ef669ec26
0x5b906718f43a15d131422dba84f6d632c7f5db8bb1f22b09a92add8d38b1b2e4,0x3d11a385b313b62f14b193165d64df2f5fa18531e945c2bd53e192daa4546a90,0xc1b5dd1e999d3ae4c230bb4367007bffd3870527730ba3ddda8b7a3f21d50022
0x413cd7db2ed3f8534970ecc35634929a5db0817a64884e678e2755a80d230b48,0x58711d43aa4f7d9e92d420abc707d02dd3da05966377531b0720ff192010c0fd,0xf709824b6739a5db138902e7d67a0b221a32095bd6a2b13abc69ffd3822d286e
0x8f967175b0ad23aa0e0fcad48cf92d9fd0fea5962b47bcaa0cf3b06424cc6924,0xcd10d48afd357e6939ccc37d98c6124a8abe9219897726b65b9fee5bf8007b2,0xfdbdf713c4f00aac2b705e9504a5e584bc18aafcde33ce4e0fa8dbc3c7eab4b
0x253c14dda6dae082bdfc674efcfe64f5fd994b4b63af714d51c039bec9fba4ff,0xac42218d62d1c7c7d2817e8c8b81a71dacdb766e682e3c2f16e06973919c5be0,0xff4ac973900cf978819fa4705fd2b4931abf64393f04280aae3c468d0e34f57
0xf33280710c1884e79505c35039e4f895ba71e3b63994e581755c21247603983d,0x1d5eae7143b39611571f2c9d53b02aca822b1b10c3c7d734fd66ff2e3e3abf7c,0x5ffd1322e607db04521a8fe24f89af8a6626b51e43ef0e85fbcca5254b380f47
0x8a51a26234031e4e29aaae562dc387d12d52e2ac8297f253397ea1207d2d629d,0x98352996f149be1f6b0e769aff32c15efb4c7ef10b52909b6dbdcc8f6bf690a5,0xdf9f97179d807722995b2a0713f7bc1861db331f0c987da83c01b9841f6ca2bd
0x3c633424e1c60c2114525c1af10a69b600e6506b70244ea7d9839bdb5b05ee84,0xea1bfddcc20c70ff5a051722a0d10932800472ee7aac3bb9a5a8351abee6187b,0xa24e29865e48e92e2b6977d0e254daed5611235f3da3b178ba4395b5f257837f
0xdafce58f2f0275b0e0fa781a23045a6e516f1266cd515cb59685157c8b822b1d,0x7faac82dfb73efe8fe184117ed64f414319ff1218e9c3b8299b99880b0c7f404,0x46f7d270aad01500190a0bd27a86b05ed6990501af96ceb5e7f2e4f090815f07
0xa057131567551142978a2f2020a2902973c2d9812e24b1dab118ba7e1cdb9711,0x8e28e2d96e2d85108bec7e49eee20718bb143b72d170764c040ef649c216926b,0xd9ef1976a5d9512c1f7ccf549e882c152f1f1d4c851d451269c79d164863af60
0x525f5c00c8a2ca63a48360a55609c8c1820a67e9ff5538db609d5bf688c66779,0x874680d8c1aa2649881e0e078a0927c0ef700ec0c8f833f9a3626bdba94eb906,0xc2808fccbdd0bdd9e16aecffe1eaab1f08aad9156602be6093b4603631c06825
